Date,Topic_CID,Sitting_CID,Order,Title,Subtitle,Section_Type,Question_Count
2014-01-21,012-001-091-002-001,012-001-091-002,1,Lessons from 2013 Southeast Asian Games,Singapore's strategy to increase medal tally,OA,
2014-01-21,012-001-091-002-002,012-001-091-002,2,Sale of Tickets for Concerts,Protecting consumers when concerts are cancelled,OA,
2014-01-21,012-001-091-002-003,012-001-091-002,3,Awareness of Medifund,,OA,
2014-01-21,012-001-091-002-004,012-001-091-002,4,Accidents Involving Cyclists and Pedestrians,,OA,
2014-01-21,012-001-091-002-005,012-001-091-002,5,Zero Tolerance towards Bullying in Schools,,OA,
2014-01-21,012-001-091-002-006,012-001-091-002,6,"Grading Standards at NTU's School of Art, Design and Media",,OA,
2014-01-21,012-001-091-002-007,012-001-091-002,7,Appointment of Education Officers at Substantive Job Grade,,OA,
2014-01-21,012-001-091-002-008,012-001-091-002,8,Granting of Public Entertainment Category One Licences,,OA,
2014-01-21,012-001-091-002-009,012-001-091-002,9,Investigation of Suspected Sexual Assault Cases,,OA,
2014-01-21,012-001-091-002-010,012-001-091-002,10,Malaysians Taking on Blue Collar Jobs in Singapore,,OA,
2014-01-21,012-001-091-002-011,012-001-091-002,11,Myanmar's Hosting of 2013 Southeast Asian Games,,OA,
2014-01-21,012-001-091-002-012,012-001-091-002,12,Service Delivery Requirements under Bus Service Reliability Framework,,OA,
2014-01-21,012-001-091-002-013,012-001-091-002,13,Help Schemes for Low-wage Workers,,OA,
2014-01-21,012-001-091-002-014,012-001-091-002,14,Admission to Singapore Bar,,OA,
2014-01-21,012-001-091-002-015,012-001-091-002,15,Global Positioning Systems in Taxis,,OA,
2014-01-21,012-001-091-002-016,012-001-091-002,16,Ramping up Healthcare Personnel Numbers,,OA,
2014-01-21,012-001-091-002-017,012-001-091-002,17,Progress of SME Workgroup ,,OA,
2014-01-21,012-001-091-002-018,012-001-091-002,18,Prisons (Amendment) Bill,,BP,
2014-01-21,012-001-091-002-019,012-001-091-002,19,Government Procurement (Amendment) Bill,,BP,
2014-01-21,012-001-091-002-020,012-001-091-002,20,Regulation of Imports and Exports (Amendment) Bill,,BP,
2014-01-21,012-001-091-002-021,012-001-091-002,21,Statutes (Miscellaneous Amendments) Bill,,BP,
2014-01-21,012-001-091-002-022,012-001-091-002,22,Subordinate Courts (Amendment) Bill,,BP,
2014-01-21,012-001-091-002-023,012-001-091-002,23,Merchant Shipping (Maritime Labour Convention) Bill,,BP,
2014-01-21,012-001-091-002-024,012-001-091-002,24,Subscription to the International Bank for Reconstruction and Development,Motion,OS,
2014-01-21,012-001-091-002-025,012-001-091-002,25,Adjournment,,OS,
2014-01-21,012-001-091-002-026,012-001-091-002,26,Educating our Young for the 21st Century,,OS,
2014-01-21,012-001-091-002-027,012-001-091-002,27,Singaporeans Who Previously Held Foreign Citizenship,,WANA,
2014-01-21,012-001-091-002-028,012-001-091-002,28,State of Chinese Dialects in Singapore,,WANA,
2014-01-21,012-001-091-002-029,012-001-091-002,29,Public Transport Fare Increases,,WANA,
2014-01-21,012-001-091-002-030,012-001-091-002,30,NS Deferment by Artists and Arts Talents,,WANA,
2014-01-21,012-001-091-002-031,012-001-091-002,31,Long Working Hours of Singaporeans,,WANA,
2014-01-21,012-001-091-002-032,012-001-091-002,32,Wearing of Hijab by Staff in Uniformed Services,,WANA,
2014-01-21,012-001-091-002-033,012-001-091-002,33,Plans for Flats at Lorong 8 Toa Payoh,,WANA,
2014-01-21,012-001-091-002-034,012-001-091-002,34,Defining Pioneer Generation,,WANA,
2014-01-21,012-001-091-002-035,012-001-091-002,35,Employment of Non-Singaporeans by the Civil Service and Its Public Agencies,,WA,
2014-01-21,012-001-091-002-036,012-001-091-002,36,Average and Median Ages of Newly Naturalised Citizens,,WA,
2014-01-21,012-001-091-002-037,012-001-091-002,37,Introduction of Benefit Corporation Legislation,,WA,
