Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Mr Ganesh Rajaram –,None,1,1,013-001-094-060-001-001,1
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,,1,1,2,013-001-094-060-001-002,2
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Asst Prof Mahdev Mohan (Nominated Member), ,1,3,013-001-094-060-001-003,3
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,The Second Minister for Home Affairs (Mrs Josephine Teo) (for the Minister for Home Affairs),"  Mr Speaker, Sir, I have the pleasure of taking the first Parliamentary Question in the Year of the Dog. I would like to wish yourself, Sir, and all Members a very Happy New Year.",1,4,013-001-094-060-001-004,4
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,The Second Minister for Home Affairs (Mrs Josephine Teo) (for the Minister for Home Affairs),,2,5,013-001-094-060-001-005,5
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,The Second Minister for Home Affairs (Mrs Josephine Teo) (for the Minister for Home Affairs),"Police investigations into Tiong Bahru Football Club and various other entities associated with the case are on-going. A large volume of records was seized. Such complex financial investigations take time. It is not appropriate for me to comment further on the case, so as not to prejudice the investigation.",3,6,013-001-094-060-001-006,6
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Asst Prof Mahdev Mohan, ,1,7,013-001-094-060-001-007,7
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Mrs Josephine Teo,"  Mr Speaker, Sir, I cannot say more about what will happen to the S-League clubs under investigation, but I can say that where the operations of the clubs are concerned, certainly, in terms of how they run the fruit machines, we have made progress. In fact, in the 2016 Committee of Supply debate, as far back as that, MHA had announced that we were reviewing the regulations of fruit machines. In July 2017, we announced the outcome of the review, with new regulations to ensure that the fruit machines remain only an ancillary part of a club's broader suite of recreation and social offerings.",1,8,013-001-094-060-001-008,8
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Mrs Josephine Teo,,2,9,013-001-094-060-001-009,9
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Mrs Josephine Teo,"Since July 2017, these new regulations have been in place and have to be observed by clubs including the football clubs. They include more stringent criteria for fruit machine permits and a reduction in the availability and accessibility of fruit machine offerings.",3,10,013-001-094-060-001-010,10
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Mrs Josephine Teo,,4,11,013-001-094-060-001-011,11
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Mrs Josephine Teo,"Insofar as the operations are concerned, there are more restrictions as well as stronger safeguards to protect individuals from the potential harms of fruit machine gaming.",5,12,013-001-094-060-001-012,12
2018-02-19,Update on Investigation into Possible Misuse of Funds at Tiong Bahru Football Club,013-001-094-060-001,Mrs Josephine Teo,,6,13,013-001-094-060-001-013,13
