Date,Sitting_CID,MP_Name,Attendance
2020-02-18,013-002-094-118,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)).,True
2020-02-18,013-002-094-118,"Mr Amrin Amin (Sembawang), Senior Parliamentary Secretary to the Ministers for Health and Home Affairs.",True
2020-02-18,013-002-094-118,Mr Ang Hin Kee (Ang Mo Kio).,True
2020-02-18,013-002-094-118,Mr Ang Wei Neng (Jurong).,True
2020-02-18,013-002-094-118,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Ministers for Culture, Community and Youth and Transport.",True
2020-02-18,013-002-094-118,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Trade and Industry.",True
2020-02-18,013-002-094-118,Miss Cheryl Chan Wei Ling (Fengshan).,True
2020-02-18,013-002-094-118,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Education and Trade and Industry.",True
2020-02-18,013-002-094-118,Mr Chen Show Mao (Aljunied).,True
2020-02-18,013-002-094-118,Miss Cheng Li Hui (Tampines).,True
2020-02-18,013-002-094-118,Dr Chia Shi-Lu (Tanjong Pagar).,True
2020-02-18,013-002-094-118,"Mr Charles Chong (Punggol East), Deputy Speaker.",True
2020-02-18,013-002-094-118,Mr Chong Kee Hiong (Bishan-Toa Payoh).,True
2020-02-18,013-002-094-118,Mr Desmond Choo (Tampines).,True
2020-02-18,013-002-094-118,Mr Darryl David (Ang Mo Kio).,True
2020-02-18,013-002-094-118,Mr Christopher de Souza (Holland-Bukit Timah).,True
2020-02-18,013-002-094-118,Mr Arasu Duraisamy (Nominated Member).,True
2020-02-18,013-002-094-118,Prof Fatimah Lateef (Marine Parade).,True
2020-02-18,013-002-094-118,Mr Cedric Foo Chee Keng (Pioneer).,True
2020-02-18,013-002-094-118,Mr Douglas Foo (Nominated Member).,True
2020-02-18,013-002-094-118,Ms Foo Mee Har (West Coast).,True
2020-02-18,013-002-094-118,"Ms Grace Fu Hai Yien (Yuhua), Minister for Culture, Community and Youth and Leader of the House.",True
2020-02-18,013-002-094-118,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health.",True
2020-02-18,013-002-094-118,Mr Gan Thiam Poh (Ang Mo Kio).,True
2020-02-18,013-002-094-118,Mr Goh Chok Tong (Marine Parade).,True
