MP_Name,earliest_sitting,latest_sitting,count_attendance,count_non_attendance,count_total_sittings_as_mp,gender,party
Abdul Samad ,2021-02-01,2023-07-06,82,11,93,M,NMP
Alex Yam ,2012-09-10,2023-09-19,321,15,336,M,PAP
Alvin Tan ,2020-08-24,2023-09-19,103,9,112,M,PAP
Alvin Yeo ,2012-09-10,2015-08-18,73,16,89,M,PAP
Amrin Amin ,2016-01-15,2020-06-05,128,7,135,M,PAP
Amy Khor Lean Suan ,2012-09-10,2023-09-19,313,23,336,F,PAP
Ang Hin Kee ,2012-09-10,2020-06-05,211,13,224,M,PAP
Ang Wei Neng ,2012-09-10,2023-09-19,331,5,336,M,PAP
Anthea Ong ,2018-10-01,2020-06-05,53,0,53,F,NMP
Arasu Duraisamy ,2018-10-01,2020-06-05,53,0,53,M,NMP
Arthur Fong ,2012-09-10,2015-08-18,82,7,89,M,PAP
Azmoon Ahmad ,2016-03-24,2018-09-10,49,24,73,M,NMP
Baey Yam Keng ,2012-09-10,2023-09-19,331,5,336,M,PAP
Benedict Tan ,2014-09-08,2015-08-18,26,4,30,M,NMP
Carrie Tan ,2020-08-24,2023-09-19,102,10,112,F,PAP
Cedric Foo Chee Keng ,2012-09-10,2020-06-05,198,26,224,M,PAP
Chan Chun Sing ,2012-09-10,2023-09-19,333,3,336,M,PAP
Charles Chong ,2012-09-10,2020-06-05,213,11,224,M,PAP
Chee Hong Tat ,2016-01-15,2023-09-19,237,10,247,M,PAP
Chen Show Mao ,2012-09-10,2020-06-05,205,19,224,M,WP
Cheng Hsing Yao ,2021-02-01,2023-07-06,77,16,93,M,NMP
Cheng Li Hui ,2016-01-15,2023-07-06,225,18,243,F,PAP
Cheryl Chan Wei Ling ,2016-01-15,2023-09-19,220,27,247,F,PAP
Chia Shi-Lu ,2012-09-10,2020-06-05,200,24,224,M,PAP
Chia Yong Yong ,2014-09-08,2018-09-10,90,13,103,F,NMP
Chong Kee Hiong ,2016-01-15,2023-09-19,236,11,247,M,PAP
Christopher de Souza ,2012-09-10,2023-09-19,330,6,336,M,PAP
Chua Kheng Wee Louis ,2020-08-24,2023-09-19,105,7,112,M,WP
Daniel Goh Pei Siong ,2016-02-29,2020-06-05,123,6,129,M,WP
Darryl David ,2016-01-15,2023-09-19,235,12,247,M,PAP
David Ong ,2012-09-10,2016-03-01,88,9,97,M,PAP
Denise Phua Lay Peng ,2012-09-10,2023-09-19,334,2,336,F,PAP
Dennis Tan Lip Fong ,2016-01-15,2023-09-19,246,1,247,M,WP
Derrick Goh ,2020-08-24,2023-09-19,111,1,112,M,PAP
Desmond Choo ,2016-01-15,2023-09-19,244,3,247,M,PAP
Desmond Lee ,2012-09-10,2023-09-19,313,23,336,M,PAP
Desmond Tan ,2020-08-24,2023-09-19,106,6,112,M,PAP
Don Wee ,2020-08-24,2023-09-19,110,2,112,M,PAP
Douglas Foo ,2018-10-01,2020-06-05,42,11,53,M,NMP
Dr Muhammad Faishal Ibrahim ,2012-09-10,2023-09-19,327,9,336,M,PAP
Dr Yaacob Ibrahim ,2012-09-10,2019-02-18,167,14,181,M,PAP
Edward Chia Bing Hui ,2020-08-24,2023-09-19,106,6,112,M,PAP
Edwin Tong Chun Fai ,2012-09-10,2023-09-19,294,42,336,M,PAP
Ellen Lee ,2012-09-10,2015-08-18,85,4,89,F,PAP
Eric Chua ,2020-08-24,2023-09-19,106,6,112,M,PAP
Faizah Jamal ,2012-09-10,2014-08-05,59,0,59,F,NMP
Fatimah Lateef ,2012-09-10,2020-06-05,167,57,224,F,PAP
Foo Mee Har ,2012-09-10,2023-09-19,310,26,336,F,PAP
Gan Kim Yong ,2012-09-10,2023-09-19,324,12,336,M,PAP
Gan Siow Huang ,2020-08-24,2023-09-19,107,5,112,F,PAP
Gan Thiam Poh ,2012-09-10,2023-09-19,318,18,336,M,PAP
Ganesh Rajaram ,2016-03-24,2018-09-10,55,18,73,M,NMP
Gerald Giam Yean Song ,2012-09-10,2023-09-19,199,2,201,M,WP
Goh Chok Tong ,2012-09-10,2020-06-05,207,17,224,M,PAP
Grace Fu Hai Yien ,2012-09-10,2023-09-19,307,29,336,F,PAP
Halimah Yacob ,2012-09-10,2017-08-01,136,2,138,F,PAP
Hany Soh ,2020-08-24,2023-09-19,105,7,112,F,PAP
Hawazi Daipi ,2012-09-10,2015-08-18,80,9,89,M,PAP
Hazel Poa ,2020-08-24,2023-09-19,100,12,112,F,PSP
He Ting Ru ,2020-08-24,2023-09-19,85,27,112,F,WP
Heng Chee How ,2012-09-10,2023-09-19,327,9,336,M,PAP
Heng Swee Keat ,2012-09-10,2023-09-19,293,43,336,M,PAP
Hoon Hian Teck ,2021-02-01,2023-07-06,84,9,93,M,NMP
Hri Kumar Nair ,2012-09-10,2015-08-18,81,8,89,M,PAP
Inderjit Singh ,2012-09-10,2015-08-18,75,14,89,M,PAP
Indranee Rajah ,2012-09-10,2023-09-19,323,13,336,F,PAP
Intan Azura Mokhtar ,2012-09-10,2020-06-05,211,13,224,F,PAP
Irene Ng Phek Hoong ,2012-09-10,2015-08-18,72,17,89,F,PAP
Irene Quay Siew Ching ,2018-10-01,2020-06-05,43,10,53,F,NMP
Jamus Jerome Lim ,2020-08-24,2023-09-19,108,4,112,M,WP
Janet Ang ,2021-02-01,2023-07-06,88,5,93,F,NMP
Janice Koh ,2012-09-10,2014-08-05,50,9,59,F,NMP
Janil Puthucheary ,2012-09-10,2023-09-19,328,8,336,M,PAP
Jessica Tan Soon Neo ,2012-09-10,2023-09-19,306,30,336,F,PAP
Joan Pereira ,2016-01-15,2023-09-19,237,10,247,F,PAP
Josephine Teo ,2012-09-10,2023-09-19,300,36,336,F,PAP
K Karthikeyan ,2014-09-08,2015-08-18,25,5,30,M,NMP
K Shanmugam ,2012-09-10,2023-09-19,282,54,336,M,PAP
K Thanaletchimi ,2016-03-24,2018-09-10,73,0,73,F,NMP
Keith Chua ,2023-08-02,2023-09-19,4,0,4,M,NMP
Khaw Boon Wan ,2012-09-10,2020-06-05,210,14,224,M,PAP
Koh Lian Pin ,2021-02-01,2023-07-06,68,25,93,M,NMP
Koh Poh Koon ,2016-01-15,2023-09-19,224,23,247,M,PAP
Kok Heng Leun ,2016-03-24,2018-09-10,63,10,73,M,NMP
Kuik Shiao-Yin ,2014-09-08,2018-09-10,91,12,103,F,NMP
Kwek Hian Chuan Henry ,2016-01-15,2023-09-19,230,17,247,M,PAP
Lam Pin Min ,2012-09-10,2020-06-05,208,16,224,M,PAP
Laurence Lien ,2012-09-10,2014-08-05,57,2,59,M,NMP
Lawrence Wong ,2012-09-10,2023-09-19,333,3,336,M,PAP
Lee Bee Wah ,2012-09-10,2020-06-05,217,7,224,F,PAP
Lee Hsien Loong ,2012-09-10,2023-09-19,332,4,336,M,PAP
Lee Kuan Yew ,2012-09-10,2015-03-13,25,57,82,M,PAP
Lee Li Lian ,2013-02-04,2016-01-29,74,12,86,F,WP
Lee Yi Shyan ,2012-09-10,2020-06-05,202,22,224,M,PAP
Leon Perera ,2016-01-15,2023-07-06,236,7,243,M,WP
Leong Mun Wai ,2020-08-24,2023-09-19,106,6,112,M,PSP
Liang Eng Hwa ,2012-09-10,2023-09-19,321,15,336,M,PAP
Lily Neo ,2012-09-10,2020-06-05,210,14,224,F,PAP
Lim Biow Chuan ,2012-09-10,2023-09-19,322,14,336,M,PAP
Lim Hng Kiang ,2012-09-10,2020-06-05,207,17,224,M,PAP
Lim Sun Sun ,2018-10-01,2020-06-05,48,5,53,F,NMP
Lim Swee Say ,2012-09-10,2020-06-05,185,39,224,M,PAP
Lim Wee Kiak ,2012-09-10,2023-09-19,323,13,336,M,PAP
Lina Chiam ,2012-09-10,2015-08-18,87,2,89,F,SPP
Louis Ng Kok Kwang ,2016-01-15,2023-09-19,247,0,247,M,PAP
Low Thia Khiang ,2012-09-10,2020-06-05,216,8,224,M,WP
Low Yen Ling ,2012-09-10,2023-09-19,324,12,336,M,PAP
Lui Tuck Yew ,2012-09-10,2015-08-18,85,4,89,M,PAP
Mah Bow Tan ,2012-09-10,2015-08-18,70,19,89,M,PAP
Mahdev Mohan ,2016-03-24,2018-09-10,50,23,73,M,NMP
Mariam Jaafar ,2020-08-24,2023-09-19,105,7,112,F,PAP
Mark Chay ,2021-02-01,2023-07-06,87,6,93,M,NMP
Mark Lee ,2023-08-02,2023-09-19,4,0,4,M,NMP
Mary Liew ,2012-09-10,2014-08-05,47,12,59,F,NMP
Masagos Zulkifli B M M ,2012-09-10,2023-09-19,280,56,336,M,PAP
Melvin Yong Yik Chye ,2016-01-15,2023-09-19,246,1,247,M,PAP
Michael Palmer ,2012-09-11,2012-11-16,7,0,7,M,PAP
Mohamad Maliki Bin Osman ,2012-09-10,2023-09-19,292,44,336,M,PAP
Mohamed Irshad ,2018-10-01,2020-06-05,53,0,53,M,NMP
Mohd Fahmi Aliman ,2020-08-24,2023-09-19,101,11,112,M,PAP
Mohd Ismail Hussein ,2014-09-08,2015-08-18,23,7,30,M,NMP
Muhamad Faisal Bin Abdul Manap ,2012-09-10,2023-09-19,320,16,336,M,WP
Murali Pillai ,2016-05-09,2023-09-19,222,6,228,M,PAP
Nadia Ahmad Samdin ,2020-08-24,2023-09-19,109,3,112,F,PAP
Neil Parekh Nimil Rajnikant ,2023-08-02,2023-09-19,4,0,4,M,NMP
Ng Chee Meng ,2016-01-15,2020-06-05,120,15,135,M,PAP
Ng Eng Hen ,2012-09-10,2023-09-19,291,45,336,M,PAP
Ng Ling Ling ,2020-08-24,2023-09-19,112,0,112,F,PAP
Nicholas Fang ,2012-09-10,2014-08-05,54,5,59,M,NMP
Ong Hua Han ,2023-08-02,2023-09-19,4,0,4,M,NMP
Ong Teng Koon ,2012-09-10,2020-06-05,212,12,224,M,PAP
Ong Ye Kung ,2016-01-15,2023-09-19,231,16,247,M,PAP
Patrick Tay Teck Guan ,2012-09-10,2023-09-19,321,15,336,M,PAP
Penny Low ,2012-09-10,2015-08-18,80,9,89,F,PAP
Png Eng Huat ,2012-09-10,2020-06-05,221,3,224,M,WP
Poh Li San ,2020-08-24,2023-09-19,107,5,112,F,PAP
Pritam Singh ,2012-09-10,2023-09-19,333,3,336,M,WP
R Dhinakaran ,2012-09-10,2014-08-05,58,1,59,M,NMP
Rachel Ong ,2020-08-24,2023-09-19,110,2,112,F,PAP
Raeesah Khan ,2020-08-24,2021-11-03,27,16,43,F,WP
Rahayu Mahzam ,2016-01-15,2023-09-19,238,9,247,F,PAP
Raj Joshua Thomas ,2021-02-01,2023-09-19,89,8,97,M,NMP
Randolph Tan ,2014-09-08,2018-09-10,97,6,103,M,NMP
Raymond Lim Siang Keat ,2012-09-10,2015-08-18,64,25,89,M,PAP
Razwana Begum Abdul Rahim ,2023-08-02,2023-09-19,4,0,4,M,NMP
Rita Soh Siow Lan ,2014-09-08,2015-08-18,28,2,30,F,NMP
S Iswaran ,2012-09-10,2023-09-19,287,49,336,M,PAP
Saktiandi Supaat ,2016-01-15,2023-09-19,242,5,247,M,PAP
Sam Tan Chin Siong ,2012-09-10,2020-06-05,190,34,224,M,PAP
Seah Kian Peng ,2012-09-10,2023-09-19,308,28,336,M,PAP
See Jinli Jean ,2023-08-02,2023-09-19,4,0,4,F,NMP
Seng Han Thong ,2012-09-10,2015-08-18,84,5,89,M,PAP
Shahira Abdullah ,2021-02-01,2023-07-06,77,16,93,F,NMP
Sharael Taha ,2020-08-24,2023-09-19,112,0,112,M,PAP
Shawn Huang Wei Zhong ,2020-08-24,2023-09-19,108,4,112,M,PAP
Sim Ann ,2012-09-10,2023-09-19,311,25,336,F,PAP
Sitoh Yih Pin ,2012-09-10,2023-09-19,322,14,336,M,PAP
Sun Xueling ,2016-01-15,2023-09-19,230,17,247,F,PAP
Syed Harun Alhabsyi ,2023-08-02,2023-09-19,4,0,4,M,NMP
Sylvia Lim ,2012-09-10,2023-09-19,323,13,336,F,WP
Tan Chuan-Jin ,2012-09-10,2023-07-06,299,33,332,M,PAP
Tan Kheng Boon Eugene ,2012-09-10,2014-08-05,52,7,59,M,NMP
Tan Kiat How ,2020-08-24,2023-09-19,110,2,112,M,PAP
Tan See Leng ,2020-08-24,2023-09-19,108,4,112,M,PAP
Tan Su Shan ,2012-09-10,2014-08-05,51,8,59,F,NMP
Tan Tai Yong ,2014-09-08,2015-08-18,23,7,30,M,NMP
Tan Wu Meng ,2016-01-15,2023-09-19,238,9,247,M,PAP
Tan Yia Swam ,2021-02-01,2023-07-06,73,20,93,F,NMP
Teo Chee Hean ,2012-09-10,2023-09-19,308,28,336,M,PAP
Teo Ho Pin ,2012-09-10,2020-06-05,199,25,224,M,PAP
Teo Ser Luck ,2012-09-10,2020-06-05,199,25,224,M,PAP
Teo Siong Seng ,2012-09-10,2014-08-05,48,11,59,M,NMP
Terence Ho Wee San ,2018-10-01,2020-06-05,52,1,53,M,NMP
Tharman Shanmugaratnam ,2012-09-10,2023-07-06,288,44,332,M,PAP
Thomas Chua Kee Seng ,2014-09-08,2018-09-10,94,9,103,M,NMP
Tin Pei Ling ,2012-09-10,2023-09-19,314,22,336,F,PAP
Usha Chandradas ,2023-08-02,2023-09-19,4,0,4,F,NMP
Vikram Nair ,2012-09-10,2023-09-19,320,16,336,M,PAP
Vivian Balakrishnan ,2012-09-10,2023-09-19,286,50,336,M,PAP
Walter Theseira ,2018-10-01,2020-06-05,52,1,53,M,NMP
Wan Rizal ,2020-08-24,2023-09-19,111,1,112,M,PAP
Wong Kan Seng ,2012-09-10,2015-08-18,82,7,89,M,PAP
Xie Yao Quan ,2020-08-24,2023-09-19,105,7,112,M,PAP
Yaacob Ibrahim ,2019-02-26,2020-06-05,43,0,43,M,PAP
Yee Chia Hsing ,2016-01-15,2020-06-05,134,1,135,M,PAP
Yee Jenn Jong ,2012-09-10,2015-08-18,83,6,89,M,WP
Yeo Guat Kwang ,2012-09-10,2015-08-18,81,8,89,M,PAP
Yeo Wan Ling ,2020-08-24,2023-09-19,107,5,112,M,PAP
Yip Hon Weng ,2020-08-24,2023-09-19,110,2,112,M,PAP
Yip Pin Xiu ,2018-10-01,2020-06-05,34,19,53,F,NMP
Zainal Sapari ,2012-09-10,2020-06-05,209,15,224,M,PAP
Zainudin Nordin ,2012-09-10,2015-08-18,81,8,89,M,PAP
Zaqy Mohamad ,2012-09-10,2023-09-19,316,20,336,M,PAP
Zhulkarnain Abdul Rahim ,2020-08-24,2023-09-19,111,1,112,M,PAP
