Date,Sitting_CID,MP_Name,Attendance,MP_Name_Title
2012-09-10,012-001-089-006,,False,
2012-09-10,012-001-089-006,Ang Hin Kee ,True,Mr Ang Hin Kee (Ang Mo Kio).
2012-09-10,012-001-089-006,Ang Wei Neng ,True,Mr Ang Wei Neng (Jurong).
2012-09-10,012-001-089-006,Baey Yam Keng ,True,Mr Baey Yam Keng (Tampines).
2012-09-10,012-001-089-006,Chan Chun Sing ,True,"Mr Chan Chun Sing (Tanjong Pagar), Acting Minister for Community Development, Youth and Sports and Senior Minister of State for Defence."
2012-09-10,012-001-089-006,Chen Show Mao ,True,Mr Chen Show Mao (Aljunied).
2012-09-10,012-001-089-006,Chia Shi-Lu ,True,Dr Chia Shi-Lu (Tanjong Pagar).
2012-09-10,012-001-089-006,Lina Chiam ,True,Mrs Lina Chiam (Non-Constituency Member).
2012-09-10,012-001-089-006,Charles Chong ,True,"Mr Charles Chong (Joo Chiat), Deputy Speaker."
2012-09-10,012-001-089-006,Christopher de Souza ,True,Mr Christopher de Souza (Holland-Bukit Timah).
2012-09-10,012-001-089-006,R Dhinakaran ,True,Mr R Dhinakaran (Nominated Member).
2012-09-10,012-001-089-006,Faizah Jamal ,True,Ms Faizah Jamal (Nominated Member).
2012-09-10,012-001-089-006,Nicholas Fang ,True,Mr Nicholas Fang (Nominated Member).
2012-09-10,012-001-089-006,Fatimah Lateef ,True,Assoc Prof Fatimah Lateef (Marine Parade).
2012-09-10,012-001-089-006,Arthur Fong ,True,Mr Arthur Fong (West Coast).
2012-09-10,012-001-089-006,Cedric Foo Chee Keng ,True,Mr Cedric Foo Chee Keng (Pioneer).
2012-09-10,012-001-089-006,Foo Mee Har ,True,Ms Foo Mee Har (West Coast).
2012-09-10,012-001-089-006,Grace Fu Hai Yien ,True,"Ms Grace Fu Hai Yien (Yuhua), Minister, Prime Minister's Office, Second Minister for the Environment and Water Resources and Second Minister for Foreign Affairs."
